Time,vel,cur,tar_vel
1740043085.431817933,0.0155524,68,0.0145156
1740043085.435434199,0.0155524,18,0.0145156
1740043085.439013576,0.0155524,27,0.0145156
1740043085.442615884,0.0145156,3,0.0145156
1740043085.446208668,0.0155524,16,0.0145156
1740043085.449815857,0.0155524,69,0.0145156
1740043085.453429097,0.0145156,14,0.0145156
1740043085.457018084,0.0145156,5,0.0145156
1740043085.460626709,0.012442,44,0.0145156
1740043085.464225311,0.012442,42,0.0145156
1740043085.467818981,0.0103683,45,0.0145156
1740043085.471418966,0.00829463,91,0.0145156
1740043085.475017487,0.00829463,91,0.0145156
1740043085.478615530,0.00933146,103,0.0145156
1740043085.482208925,0.0103683,110,0.0145156
1740043085.485817518,0.0103683,104,0.0145156
1740043085.489419046,0.0114051,145,0.0145156
1740043085.493017095,0.012442,115,0.0145156
1740043085.496615625,0.0134788,99,0.0145156
1740043085.500253829,0.0145156,103,0.0145156
1740043085.503821689,0.0165893,79,0.0145156
1740043085.507432798,0.0165893,81,0.0145156
1740043085.511018865,0.0165893,79,0.0145156
1740043085.514631320,0.0145156,101,0.0145156
1740043085.518210604,0.0134788,91,0.0145156
1740043085.521817178,0.0114051,90,0.0145156
1740043085.525437375,0.0103683,116,0.0145156
1740043085.529025559,0.00933146,128,0.0145156
1740043085.532662764,0.00829463,111,0.0145156
1740043085.536229927,0.00829463,147,0.0145156
1740043085.539846516,0.00933146,157,0.0145156
1740043085.543415750,0.00933146,164,0.0145156
1740043085.547044327,0.0103683,165,0.0145156
1740043085.550631542,0.0103683,164,0.0145156
1740043085.554235188,0.0114051,155,0.0145156
1740043085.557818146,0.012442,165,0.0145156
1740043085.561409594,0.0134788,152,0.0145156
1740043085.565045677,0.012442,175,0.0145156
1740043085.568639389,0.012442,158,0.0145156
1740043085.572265515,0.012442,158,0.0145156
1740043085.575808183,0.0114051,176,0.0145156
1740043085.579437441,0.0103683,192,0.0145156
1740043085.583026093,0.0103683,192,0.0145156
1740043085.586644047,0.0072578,219,0.0145156
1740043085.590216642,0.00829463,223,0.0145156
1740043085.593846078,0.00933146,213,0.0145156
1740043085.597419995,0.0103683,226,0.0145156
1740043085.601018964,0.0103683,232,0.0145156
1740043085.604669404,0.0103683,262,0.0145156
1740043085.608221313,0.0103683,262,0.0145156
1740043085.611844591,0.0134788,211,0.0145156
1740043085.615414689,0.0155524,206,0.0145156
1740043085.619044623,0.0165893,179,0.0145156
1740043085.622622482,0.0165893,188,0.0145156
1740043085.626245313,0.0165893,177,0.0145156
1740043085.629823474,0.0165893,167,0.0145156
1740043085.633586018,0.0155524,162,0.0145156
1740043085.637168258,0.0145156,187,0.0145156
1740043085.640785662,0.0134788,185,0.0145156
1740043085.644367095,0.0114051,185,0.0145156
1740043085.647852101,0.0103683,198,0.0145156
1740043085.651454109,0.0103683,171,0.0145156
1740043085.655022788,0.0103683,192,0.0145156
1740043085.658643099,0.0103683,189,0.0145156
1740043085.662225290,0.0114051,208,0.0145156
1740043085.665878808,0.0134788,148,0.0145156
1740043085.669419686,0.0155524,163,0.0145156
1740043085.673020915,0.0165893,158,0.0145156
1740043085.676681857,0.0176261,110,0.0145156
1740043085.680309296,0.0176261,123,0.0145156
1740043085.683929076,0.0176261,109,0.0145156
1740043085.687491858,0.0165893,111,0.0145156
1740043085.691125177,0.0155524,134,0.0145156
1740043085.694623128,0.0145156,124,0.0145156
1740043085.698244697,0.012442,96,0.0145156
1740043085.701825549,0.0114051,170,0.0145156
1740043085.705439094,0.0114051,166,0.0145156
1740043085.709021479,0.0114051,105,0.0145156
1740043085.712617003,0.012442,145,0.0145156
1740043085.716245946,0.0155524,130,0.0145156
1740043085.719823650,0.0155524,114,0.0145156
1740043085.723439468,0.0176261,97,0.0145156
1740043085.727021272,0.0176261,97,0.0145156
1740043085.730650686,0.0176261,85,0.0145156
1740043085.734223591,0.0165893,47,0.0145156
1740043085.737849331,0.0165893,60,0.0145156
1740043085.741420362,0.0145156,62,0.0145156
1740043085.745053208,0.0103683,81,0.0145156
1740043085.748633272,0.0103683,81,0.0145156
1740043085.752216989,0.00933146,140,0.0145156
1740043085.755847442,0.00933146,156,0.0145156
1740043085.759421908,0.0103683,147,0.0145156
1740043085.763046110,0.0103683,95,0.0145156
1740043085.766624176,0.0114051,121,0.0145156
1740043085.770246441,0.0134788,103,0.0145156
1740043085.773825364,0.0145156,156,0.0145156
1740043085.777599664,0.0145156,120,0.0145156
1740043085.781152863,0.0165893,95,0.0145156
1740043085.784783617,0.0165893,62,0.0145156
1740043085.788369744,0.0155524,74,0.0145156
1740043085.791960744,0.0145156,53,0.0145156
1740043085.795571601,0.0134788,98,0.0145156
1740043085.799174069,0.0134788,98,0.0145156
1740043085.802770732,0.012442,88,0.0145156
1740043085.806373999,0.00933146,163,0.0145156
1740043085.809969378,0.00933146,141,0.0145156
1740043085.813565434,0.0103683,119,0.0145156
1740043085.817168395,0.0103683,119,0.0145156
1740043085.820788889,0.0134788,115,0.0145156
1740043085.824355955,0.0134788,105,0.0145156
1740043085.827959836,0.0145156,100,0.0145156
1740043085.831575616,0.0145156,100,0.0145156
1740043085.835171336,0.0145156,107,0.0145156
1740043085.838756281,0.0145156,104,0.0145156
1740043085.842369633,0.0134788,120,0.0145156
1740043085.845957736,0.012442,110,0.0145156
1740043085.849562042,0.0114051,122,0.0145156
1740043085.853166213,0.0103683,107,0.0145156
1740043085.856790738,0.0103683,101,0.0145156
1740043085.860374511,0.00933146,136,0.0145156
1740043085.863973680,0.00829463,184,0.0145156
1740043085.867574511,0.00829463,179,0.0145156
1740043085.871174502,0.00829463,199,0.0145156
1740043085.874755840,0.00933146,176,0.0145156
1740043085.878379938,0.0103683,206,0.0145156
1740043085.881960207,0.0103683,225,0.0145156
1740043085.885572156,0.0114051,207,0.0145156
1740043085.889167456,0.0134788,190,0.0145156
1740043085.892771601,0.0134788,164,0.0145156
1740043085.896360361,0.0145156,175,0.0145156
1740043085.899958189,0.0145156,180,0.0145156
